Designator,Mid X,Mid Y,Rotation,Layer
C1,154.704784,-96.165452,0.0,top
C10,152.104983,-94.953019,90.0,top
C11,151.547092,-92.052466,90.0,top
C12,152.38675,-106.482744,270.0,top
C13,145.25,-84.5,270.0,top
C14,147.75,-88.5,180.0,top
C15,147.683354,-110.290324,180.0,top
C16,151.38675,-108.482744,90.0,top
C17,148.24,-91.0,180.0,top
C2,151.38675,-106.482744,270.0,top
C3,143.170605,-101.261264,180.0,top
C4,145.27,-95.75,180.0,top
C5,153.23675,-95.002744,90.0,top
C6,152.560342,-92.069722,90.0,top
C7,153.560342,-92.069722,90.0,top
C8,154.358693,-97.23792,0.0,top
C9,155.594209,-101.427535,0.0,top
J1,149.75,-76.65,180.0,top
J2,140.41,-99.91,0.0,top
J3,158.338861,-99.906831,0.0,top
J4,149.46,-123.75,90.0,top
R1,150.105032,-83.799651,270.0,top
R2,148.909748,-83.789854,270.0,top
R3,149.98675,-94.982744,270.0,top
R4,150.98675,-94.982744,270.0,top
R5,149.656722,-105.636947,180.0,top
R6,149.25,-121.0,180.0,top
R7,145.99,-91.0,0.0,top
SW1,149.15,-118.75,0.0,top
U1,149.18675,-100.182744,90.0,top
U2,147.75,-85.75,270.0,top
U4,147.25,-93.0,0.0,top
Y1,148.63675,-107.982744,180.0,top
